validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2025-04-19 23:00:00+00:00,8951853,2413713,0.26963277882244047,269.63277882244046
2025-04-20 00:00:00+00:00,8647953,2452007,0.28353611542523416,283.5361154252342
2025-04-20 01:00:00+00:00,8584776,2535698,0.2953714808633329,295.3714808633329
2025-04-20 02:00:00+00:00,8418238,2586720,0.30727570306280244,307.27570306280245
2025-04-20 03:00:00+00:00,8410341,2640848,0.31400011010255113,314.00011010255116
2025-04-20 04:00:00+00:00,8442392,2725345,0.3228166851290487,322.8166851290487
2025-04-20 05:00:00+00:00,8652556,2590999,0.2994489720725298,299.4489720725298
2025-04-20 06:00:00+00:00,9543952,1937034,0.20295931915835286,202.95931915835286
2025-04-20 07:00:00+00:00,10992930,1262549,0.11485099968798128,114.85099968798127
2025-04-20 08:00:00+00:00,13061528,1062490,0.0813450003705539,81.34500037055389
2025-04-20 09:00:00+00:00,15570508,1050212,0.06744879486269813,67.44879486269812
2025-04-20 10:00:00+00:00,17282403,1051679,0.06085259092731491,60.852590927314914
2025-04-20 11:00:00+00:00,18908130,1005536,0.05318008708423308,53.18008708423308
2025-04-20 12:00:00+00:00,18685918,984304,0.0526762452880292,52.6762452880292
2025-04-20 13:00:00+00:00,17162617,1038414,0.060504409088660546,60.504409088660545
2025-04-20 14:00:00+00:00,13966011,1122533,0.08037606443242813,80.37606443242814
2025-04-20 15:00:00+00:00,13971809,1730330,0.12384437834785746,123.84437834785746
2025-04-20 16:00:00+00:00,12831764,2685823,0.20931050477549307,209.31050477549306
2025-04-20 17:00:00+00:00,11860815,3274240,0.27605522891976647,276.0552289197665
2025-04-20 18:00:00+00:00,10435485,3385336,0.3244061967412152,324.4061967412152
2025-04-20 19:00:00+00:00,9724906,3454197,0.35519078539165316,355.19078539165315
2025-04-20 20:00:00+00:00,9148648,3361115,0.36738925795374355,367.38925795374354
2025-04-20 21:00:00+00:00,8633023,3225358,0.37360702039135074,373.6070203913507
2025-04-20 22:00:00+00:00,8434406,3204631,0.3799474438389615,379.94744383896153
2025-04-20 23:00:00+00:00,8405920,3247836,0.3863748405885376,386.3748405885376
2025-04-21 00:00:00+00:00,8025145,3137380,0.3909437150356785,390.9437150356785
2025-04-21 01:00:00+00:00,7558388,2934859,0.38829165689826983,388.2916568982698
2025-04-21 02:00:00+00:00,7528541,2935605,0.3899301338732166,389.9301338732166
2025-04-21 03:00:00+00:00,7606951,2952314,0.38810740334728067,388.10740334728064
2025-04-21 04:00:00+00:00,7664173,2976034,0.3883046481335951,388.3046481335951
2025-04-21 05:00:00+00:00,7820767,2923206,0.37377484842599196,373.77484842599193
2025-04-21 06:00:00+00:00,8497629,2795993,0.329032133551606,329.03213355160597
2025-04-21 07:00:00+00:00,9170409,2448165,0.266963556369187,266.963556369187
2025-04-21 08:00:00+00:00,9943810,1889631,0.1900308835345808,190.0308835345808
2025-04-21 09:00:00+00:00,11570484,1559121,0.1347498514323169,134.74985143231692
2025-04-21 10:00:00+00:00,12304884,1355584,0.11016633720399152,110.16633720399152
2025-04-21 11:00:00+00:00,11062308,1466096,0.13253075217215068,132.53075217215067
2025-04-21 12:00:00+00:00,10687693,1604497,0.1501256632277892,150.1256632277892
2025-04-21 13:00:00+00:00,9843995,1866112,0.18956856438874664,189.56856438874664
2025-04-21 14:00:00+00:00,9901169,2157282,0.2178815450983616,217.8815450983616
2025-04-21 15:00:00+00:00,11775210,2915223,0.24757290952772817,247.57290952772817
2025-04-21 16:00:00+00:00,12246269,3856139,0.31488276143534,314.88276143534
2025-04-21 17:00:00+00:00,10788254,3874822,0.3591704459312879,359.1704459312879
2025-04-21 18:00:00+00:00,10035280,3921535,0.3907748463421051,390.7748463421051
2025-04-21 19:00:00+00:00,10162882,4063932,0.3998798765940606,399.8798765940606
2025-04-21 20:00:00+00:00,10512145,4088560,0.3889367964387858,388.9367964387858
2025-04-21 21:00:00+00:00,10141732,4005430,0.3949453604177275,394.9453604177275
2025-04-21 22:00:00+00:00,9211575,3688075,0.4003739859904522,400.3739859904522
2025-04-21 23:00:00+00:00,9197999,3739996,0.40660974196670385,406.60974196670384
2025-04-22 00:00:00+00:00,9199463,3767485,0.4095331434019573,409.53314340195726
2025-04-22 01:00:00+00:00,9256193,3798219,0.41034353972524124,410.3435397252412
2025-04-22 02:00:00+00:00,9342559,3798606,0.4065915987257881,406.5915987257881
2025-04-22 03:00:00+00:00,10017902,3983445,0.3976326580156204,397.63265801562045
2025-04-22 04:00:00+00:00,11284999,4452455,0.39454633536077405,394.54633536077404
2025-04-22 05:00:00+00:00,11738130,4503165,0.38363563872610035,383.63563872610035
2025-04-22 06:00:00+00:00,12676356,4386289,0.34602128561236367,346.02128561236367
2025-04-22 07:00:00+00:00,14173751,4311392,0.30418144074917075,304.18144074917075
2025-04-22 08:00:00+00:00,14516464,3576376,0.2463668838361739,246.36688383617388
2025-04-22 09:00:00+00:00,15341707,2810186,0.18317296764955815,183.17296764955816
2025-04-22 10:00:00+00:00,17325874,2146490,0.12388927681224046,123.88927681224047
2025-04-22 11:00:00+00:00,18378758,1751517,0.09530116235275528,95.30116235275528
2025-04-22 12:00:00+00:00,20196114,1706503,0.0844966016729753,84.4966016729753
2025-04-22 13:00:00+00:00,20050219,2034174,0.10145395419371729,101.4539541937173
2025-04-22 14:00:00+00:00,19112022,2677092,0.14007371904448415,140.07371904448416
2025-04-22 15:00:00+00:00,18040704,3451231,0.19130245693294454,191.30245693294452
2025-04-22 16:00:00+00:00,15748467,4228770,0.26851946922833825,268.51946922833827
2025-04-22 17:00:00+00:00,13324648,4494019,0.33727112340978915,337.27112340978914
2025-04-22 18:00:00+00:00,11258114,4490268,0.3988472669578581,398.8472669578581
2025-04-22 19:00:00+00:00,11056461,4527585,0.4094967639283492,409.4967639283492
2025-04-22 20:00:00+00:00,11201794,4528607,0.40427515449757423,404.27515449757425
2025-04-22 21:00:00+00:00,10768242,4375817,0.40636317423029683,406.3631742302968
2025-04-22 22:00:00+00:00,10283731,4207635,0.40915451794684243,409.1545179468424
2025-04-22 23:00:00+00:00,10008734,4144775,0.4141158112504539,414.1158112504539
2025-04-23 00:00:00+00:00,9862971,4116204,0.417339156730766,417.339156730766
2025-04-23 01:00:00+00:00,9790817,4097367,0.41849081644565517,418.4908164456552
2025-04-23 02:00:00+00:00,9767192,4087218,0.4184639761356181,418.4639761356181
2025-04-23 03:00:00+00:00,10090276,4199354,0.4161783087003765,416.1783087003765
2025-04-23 04:00:00+00:00,10648993,4334011,0.406987871998789,406.987871998789
2025-04-23 05:00:00+00:00,11283938,4390555,0.389097760019596,389.097760019596
2025-04-23 06:00:00+00:00,12715463,4366325,0.34338702412959715,343.38702412959714
2025-04-23 07:00:00+00:00,14401201,4262176,0.29595976057830176,295.95976057830177
2025-04-23 08:00:00+00:00,15023939,3816752,0.25404469493652765,254.04469493652766
2025-04-23 09:00:00+00:00,15083764,3580755,0.2373913434339068,237.3913434339068
2025-04-23 10:00:00+00:00,15340772,3491224,0.22757811666844407,227.57811666844407
2025-04-23 11:00:00+00:00,15008537,3299267,0.21982602301610077,219.82602301610078
2025-04-23 12:00:00+00:00,14899577,3194043,0.21437138785886337,214.37138785886336
2025-04-23 13:00:00+00:00,15518454,3304764,0.2129570381173279,212.95703811732793
2025-04-23 14:00:00+00:00,14707711,3617123,0.24593378262599802,245.93378262599802
2025-04-23 15:00:00+00:00,15015226,4110886,0.2737811605366446,273.78116053664456
2025-04-23 16:00:00+00:00,13792052,3949782,0.2863810258255987,286.3810258255987
2025-04-23 17:00:00+00:00,13312734,3976239,0.298679369692206,298.67936969220597
2025-04-23 18:00:00+00:00,12428825,4009004,0.32255695932640455,322.5569593264045
2025-04-23 19:00:00+00:00,12261331,4057309,0.33090281960416856,330.90281960416854
2025-04-23 20:00:00+00:00,12273724,4036830,0.32890017732189514,328.9001773218951
2025-04-23 21:00:00+00:00,11527106,3580302,0.31059851449270964,310.5985144927096
2025-04-23 22:00:00+00:00,11279205,3429785,0.30408038509806323,304.08038509806323
2025-04-23 23:00:00+00:00,11063063,3182950,0.28770965147717226,287.70965147717226
2025-04-24 00:00:00+00:00,11028726,3100903,0.2811660204451539,281.1660204451539
2025-04-24 01:00:00+00:00,11357662,3098988,0.27285439556134,272.85439556134
2025-04-24 02:00:00+00:00,11756205,3122884,0.2656370827150428,265.6370827150428
2025-04-24 03:00:00+00:00,12483843,3314815,0.26552841140344363,265.5284114034436
2025-04-24 04:00:00+00:00,14618063,4109056,0.28109442406972796,281.09442406972795
2025-04-24 05:00:00+00:00,15557759,4375561,0.2812462257578357,281.2462257578357
2025-04-24 06:00:00+00:00,16245553,4415194,0.2717786215095294,271.77862150952944
2025-04-24 07:00:00+00:00,16619251,4207386,0.25316339466802684,253.16339466802685
2025-04-24 08:00:00+00:00,16370009,3816593,0.23314544298662268,233.14544298662267
2025-04-24 09:00:00+00:00,16769615,3446816,0.2055393639031069,205.5393639031069
2025-04-24 10:00:00+00:00,17080697,3235420,0.18941967063756238,189.41967063756238
2025-04-24 11:00:00+00:00,16644054,3182113,0.19118617375310126,191.18617375310126
2025-04-24 12:00:00+00:00,17160088,3074520,0.17916691336314824,179.16691336314824
2025-04-24 13:00:00+00:00,17791029,3141803,0.17659478830594902,176.594788305949
2025-04-24 14:00:00+00:00,17918115,3397009,0.1895851767889647,189.5851767889647
2025-04-24 15:00:00+00:00,17470855,3689974,0.21120740799462878,211.2074079946288
2025-04-24 16:00:00+00:00,17857537,4362746,0.24430838362535662,244.3083836253566
2025-04-24 17:00:00+00:00,16714568,4588298,0.27450891940491673,274.50891940491675
2025-04-24 18:00:00+00:00,15241837,4613937,0.3027152829412885,302.71528294128854
2025-04-24 19:00:00+00:00,14571826,4585879,0.3147086027516387,314.7086027516387
2025-04-24 20:00:00+00:00,13681751,4435747,0.3242090138901081,324.2090138901081
2025-04-24 21:00:00+00:00,12065901,3927850,0.32553308700278577,325.53308700278575
2025-04-24 22:00:00+00:00,11334200,3774366,0.3330068288895555,333.0068288895555
2025-04-24 23:00:00+00:00,10471060,3644643,0.3480681993991057,348.0681993991057
2025-04-25 00:00:00+00:00,9920071,3582802,0.3611669714863936,361.1669714863936
2025-04-25 01:00:00+00:00,9629597,3586097,0.37240364264465065,372.40364264465063
2025-04-25 02:00:00+00:00,9916047,3668726,0.36997868202924006,369.9786820292401
2025-04-25 03:00:00+00:00,10545218,3821976,0.3624368884550324,362.43688845503243
2025-04-25 04:00:00+00:00,12461898,4407575,0.35368408568261434,353.68408568261435
2025-04-25 05:00:00+00:00,13524574,4639081,0.3430112475261698,343.01124752616977
2025-04-25 06:00:00+00:00,14809598,4685546,0.3163857655015349,316.38576550153493
2025-04-25 07:00:00+00:00,16138600,4639812,0.28749780030485916,287.49780030485914
2025-04-25 08:00:00+00:00,16453610,4114016,0.2500372866501637,250.03728665016374
2025-04-25 09:00:00+00:00,17137993,3437054,0.20055172154639112,200.55172154639112
2025-04-25 10:00:00+00:00,17427262,2649943,0.15205733407806687,152.05733407806687
2025-04-25 11:00:00+00:00,18374518,2487922,0.13540066738077156,135.40066738077155
2025-04-25 12:00:00+00:00,18557235,2379512,0.12822556808705607,128.22556808705608
2025-04-25 13:00:00+00:00,17427575,2392032,0.13725558489921863,137.25558489921863
2025-04-25 14:00:00+00:00,16589230,2562748,0.1544826372290938,154.4826372290938
2025-04-25 15:00:00+00:00,16382511,3187016,0.19453769937953955,194.53769937953956
2025-04-25 16:00:00+00:00,17110836,4108452,0.24010819810323702,240.10819810323702
2025-04-25 17:00:00+00:00,15121302,4395088,0.29065539462144196,290.655394621442
2025-04-25 18:00:00+00:00,12603606,4513590,0.35811893834193165,358.11893834193165
2025-04-25 19:00:00+00:00,11684800,4530875,0.38775802752293576,387.7580275229358
2025-04-25 20:00:00+00:00,11270228,4412029,0.3914764634752731,391.4764634752731
2025-04-25 21:00:00+00:00,10243776,4104091,0.4006423998338113,400.6423998338113
2025-04-25 22:00:00+00:00,9269368,3784983,0.40833236958549923,408.33236958549924
2025-04-25 23:00:00+00:00,8779129,3597107,0.4097339269077832,409.7339269077832
2025-04-26 00:00:00+00:00,8390117,3423318,0.40801790964297635,408.01790964297635
2025-04-26 01:00:00+00:00,8258694,3329172,0.4031111940943689,403.1111940943689
2025-04-26 02:00:00+00:00,8335964,3354101,0.40236510138479487,402.36510138479485
2025-04-26 03:00:00+00:00,8135917,3288853,0.40423876005618053,404.2387600561805
2025-04-26 04:00:00+00:00,8243739,3335328,0.40458922826159344,404.58922826159346
2025-04-26 05:00:00+00:00,9161948,3138174,0.34252257271051967,342.5225727105197
2025-04-26 06:00:00+00:00,10479849,2439756,0.23280449937780592,232.8044993778059
2025-04-26 07:00:00+00:00,11762709,1636342,0.1391126822911287,139.1126822911287
2025-04-26 08:00:00+00:00,14912478,1241754,0.08326946064899475,83.26946064899475
2025-04-26 09:00:00+00:00,16864924,864707,0.05127251092267003,51.27251092267003
2025-04-26 10:00:00+00:00,19299438,800523,0.04147908348419265,41.47908348419265
2025-04-26 11:00:00+00:00,20408154,767508,0.03760790907399072,37.60790907399072
2025-04-26 12:00:00+00:00,19496380,755446,0.03874801373383161,38.74801373383161
2025-04-26 13:00:00+00:00,18282350,757487,0.041432693280677814,41.43269328067782
2025-04-26 14:00:00+00:00,16702772,740736,0.04434808785032808,44.34808785032808
2025-04-26 15:00:00+00:00,15464861,831768,0.053784382543108536,53.784382543108535
2025-04-26 16:00:00+00:00,13095572,1420954,0.10850644782831938,108.50644782831938
2025-04-26 17:00:00+00:00,11474131,2295364,0.20004687065190382,200.04687065190382
2025-04-26 18:00:00+00:00,9133770,2468680,0.27028050848663804,270.28050848663804
2025-04-26 19:00:00+00:00,7977057,2378052,0.29811144636424186,298.1114463642419
2025-04-26 20:00:00+00:00,7628895,2365586,0.31008239070009486,310.08239070009483
2025-04-26 21:00:00+00:00,7049381,2241591,0.31798408966687997,317.98408966688
2025-04-26 22:00:00+00:00,6416417,2105354,0.328119883729502,328.119883729502
2025-04-26 23:00:00+00:00,6025936,2037478,0.3381180948486675,338.1180948486675
2025-04-27 00:00:00+00:00,5260161,1742316,0.33122864490269405,331.22864490269404
2025-04-27 01:00:00+00:00,4668165,1514396,0.32440927002366027,324.40927002366027
2025-04-27 02:00:00+00:00,4590073,1432566,0.31210091865641354,312.1009186564135
2025-04-27 03:00:00+00:00,4427898,1329287,0.3002072315125597,300.2072315125597
2025-04-27 04:00:00+00:00,4519311,1385966,0.3066763938131277,306.67639381312773
2025-04-27 05:00:00+00:00,5552504,1099578,0.19803281546487855,198.03281546487855
2025-04-27 06:00:00+00:00,8464555,876274,0.10352274868554814,103.52274868554814
2025-04-27 07:00:00+00:00,12410422,830145,0.0668909566491776,66.8909566491776
2025-04-27 08:00:00+00:00,16140448,811417,0.05027227249206466,50.27227249206466
2025-04-27 09:00:00+00:00,19098987,772159,0.040429317010373375,40.429317010373374
2025-04-27 10:00:00+00:00,20908262,608661,0.029111027975448175,29.111027975448174
2025-04-27 11:00:00+00:00,21681485,599829,0.02766549431461913,27.66549431461913
2025-04-27 12:00:00+00:00,21128876,599261,0.02836218074260079,28.362180742600792
2025-04-27 13:00:00+00:00,19952755,707327,0.03545009197977923,35.45009197977923
2025-04-27 14:00:00+00:00,17971169,746923,0.041562293471281694,41.56229347128169
2025-04-27 15:00:00+00:00,14945763,928752,0.06214149120389505,62.14149120389504
2025-04-27 16:00:00+00:00,12684559,1714589,0.13517135282353923,135.17135282353922
2025-04-27 17:00:00+00:00,11819719,2934392,0.24826241639077884,248.26241639077884
2025-04-27 18:00:00+00:00,9605990,3109101,0.32366273543903334,323.6627354390333
2025-04-27 19:00:00+00:00,8479305,3094097,0.3648998355407666,364.8998355407666
2025-04-27 20:00:00+00:00,7972013,2998153,0.37608481069963134,376.08481069963136
2025-04-27 21:00:00+00:00,7389507,2842766,0.38470306611794264,384.7030661179426
2025-04-27 22:00:00+00:00,6527669,2524332,0.3867126228367278,386.7126228367278
2025-04-27 23:00:00+00:00,6358991,2452552,0.38568257133875483,385.6825713387548
2025-04-28 00:00:00+00:00,6458016,2498942,0.3869519679108878,386.95196791088784
2025-04-28 01:00:00+00:00,6528687,2514756,0.3851855664086822,385.1855664086822
2025-04-28 02:00:00+00:00,7017838,2701646,0.3849684190487156,384.9684190487156
2025-04-28 03:00:00+00:00,8205400,3153398,0.3843076510590587,384.3076510590587
2025-04-28 04:00:00+00:00,9221546,3486560,0.37808844634077626,378.0884463407763
2025-04-28 05:00:00+00:00,10826574,3371799,0.311437302326664,311.437302326664
2025-04-28 06:00:00+00:00,13639600,3148751,0.23085361740813515,230.85361740813514
2025-04-28 07:00:00+00:00,13602114,1564191,0.11499616897785153,114.99616897785153
2025-04-28 08:00:00+00:00,15632358,805008,0.05149626179236683,51.49626179236683
2025-04-28 09:00:00+00:00,16860337,764674,0.045353423244149864,45.353423244149866
2025-04-28 10:00:00+00:00,18591339,742931,0.039961134590682255,39.961134590682256
2025-04-28 11:00:00+00:00,19490830,717355,0.036804743564024724,36.804743564024726
2025-04-28 12:00:00+00:00,19446257,761334,0.03915067048635632,39.15067048635632
2025-04-28 13:00:00+00:00,18343184,756478,0.041240277587576944,41.24027758757694
2025-04-28 14:00:00+00:00,17833756,822131,0.046099711132080085,46.09971113208008
2025-04-28 15:00:00+00:00,15913231,1569033,0.09859927251731594,98.59927251731594
2025-04-28 16:00:00+00:00,15065106,2927295,0.1943096185317249,194.3096185317249
2025-04-28 17:00:00+00:00,12685513,3312437,0.26111967249570434,261.1196724957043
2025-04-28 18:00:00+00:00,10479604,3488282,0.33286391356009254,332.86391356009256
2025-04-28 19:00:00+00:00,9234797,3408981,0.369145201567506,369.14520156750604
2025-04-28 20:00:00+00:00,8817801,3305048,0.3748154443494472,374.8154443494472
2025-04-28 21:00:00+00:00,8600627,3207499,0.3729378102317424,372.9378102317424
2025-04-28 22:00:00+00:00,8223247,3082090,0.3748020702771059,374.8020702771059
2025-04-28 23:00:00+00:00,7400776,2785904,0.3764340388089033,376.4340388089033
2025-04-29 00:00:00+00:00,7299204,2764338,0.37871773415292953,378.71773415292955
2025-04-29 01:00:00+00:00,7387853,2792209,0.3779459336833042,377.9459336833042
2025-04-29 02:00:00+00:00,7493842,2812364,0.37529000477992464,375.29000477992463
2025-04-29 03:00:00+00:00,7666155,2874320,0.37493632727227666,374.9363272722767
2025-04-29 04:00:00+00:00,8775750,3246786,0.3699724809845312,369.9724809845312
2025-04-29 05:00:00+00:00,10560719,3260480,0.30873655477434825,308.73655477434824
2025-04-29 06:00:00+00:00,13169335,2931139,0.22257304563973807,222.57304563973807
2025-04-29 07:00:00+00:00,14160930,1645827,0.116223087043012,116.223087043012
2025-04-29 08:00:00+00:00,16162937,966337,0.05978721565269975,59.78721565269975
